"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Ireland","LFS - EU Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",34.74,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Iran, Islamic Republic of","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",46.78,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Iraq","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2021",31.71,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Iceland","LFS - EU Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",35.73,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Israel","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",37.74,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Italy","LFS - EU Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",36.07,,,"Job coverage: Main and second job currently held","Repository: Eurostat special tabulation"
"Jamaica","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2023",43.63,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Jersey","HS - Social Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2016",40,,,"Central tendency measure: Median | Job coverage: Main job currently held","Data reference period: December | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Jordan","LFS - Employment and Unemployment Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2024",48.13,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Japan","LFS - Labour Force Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2020",36.6,,,"Employment definition: Excluding own-use production workers | Job coverage: Main job currently held",
"Kazakhstan","LFS - Sample Survey of Employment","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2022",38,,,"Employment definition: Excluding own-use production workers | Job coverage: Main job currently held","Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Kenya","HS - Continuous household survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2021",39.05,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Kyrgyzstan","LFS - Employment and Unemployment Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2023",38.66,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Cambodia","HIES - Household Socio-Economic Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2023",42.49,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Kiribati","HIES - Household Income and Expenditure Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2023",27.71,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
"Republic of Korea","LFS - Economically Active Population Survey","Average weekly hours actually worked per employed person by sex and economic activity","Total","Economic activity (Aggregate): Total","2025",38.49,,,"Job coverage: Main job currently held","Repository: ILO-STATISTICS - Micro data processing"
